order_id,origin_warehouse,destination_zone,distance_km,order_weight_kg,promised_date,actual_date,shipping_cost,inventory_level
ORD00072,Warehouse C,North,122.4,9.94,2026-03-09,2026-03-09,75.59,79
ORD00150,Warehouse A,West,,10.68,2026-02-16,2026-02-16,90.64,269
ORD00134,Warehouse A,North,,0.49,2026-02-21,2026-02-26,48.59,449
ORD00094,WAREHOUSE D,Central,123.6,3.66,2026-03-07,2026-03-08,58.72,42
ORD00032,warehouse_b,Central,175.4,12.22,2026-03-18,2026-03-18,110.33,450
ORD00017,Warehouse A,Central,152.5,12.07,2026-02-13,2026-02-14,87.58,293
ORD00065,Warehouse C,East,101.0,6.04,2026-03-22,2026-03-22,,142
ORD00002,warehouse_b,South,132.8,8.84,2026-01-27,2026-01-27,82.49,366
ORD00049,Warehouse A,North,,10.14,2026-04-14,2026-04-14,69.65,392
ORD00084,warehouse_b,South,102.1,11.61,2026-04-16,2026-04-16,63.18,32
ORD00147,WAREHOUSE D,Central,154.8,7.02,2026-03-24,2026-03-24,82.45,456
ORD00099,WAREHOUSE D,East,35.0,6.42,2026-02-02,2026-02-02,19.03,118
ORD00100,WAREHOUSE D,West,134.5,9.71,2026-02-14,2026-02-14,84.8,335
ORD00088,Warehouse C,South,174.3,6.7,2026-01-07,2026-01-08,,357
ORD00010,Warehouse C,Central,135.6,4.2,2026-01-12,2026-01-12,74.88,393
ORD00145,WAREHOUSE D,South,133.5,6.76,2026-02-15,2026-02-15,72.0,395
ORD00005,Warehouse A,Central,79.5,8.94,2026-05-20,2026-05-20,50.14,234
ORD00039,WAREHOUSE D,South,130.4,10.35,2026-02-21,2026-02-21,85.88,385
ORD00079,warehouse_b,Central,119.2,8.35,2026-04-05,2026-04-05,66.99,318
ORD00074,warehouse_b,East,122.8,9.32,2026-03-09,2026-03-11,73.36,278
ORD00132,Warehouse A,West,125.1,6.92,2026-05-19,2026-05-19,68.94,46
ORD00035,Warehouse A,East,77.5,9.42,2026-03-03,2026-03-03,56.82,49
ORD00113,Warehouse C,West,185.1,3.86,2026-05-10,2026-05-11,90.94,238
ORD00057,Warehouse C,West,158.2,9.95,2026-04-19,2026-04-20,85.33,376
ORD00070,warehouse_b,East,172.9,7.61,2026-02-10,2026-02-10,90.7,244
ORD00045,warehouse_b,East,110.2,5.74,2026-05-05,2026-05-05,65.46,129
ORD00020,Warehouse A,East,117.6,3.74,2026-03-10,2026-03-10,65.61,53
ORD00007,Warehouse A,South,98.2,8.33,2026-04-19,2026-04-19,57.85,194
ORD00056,Warehouse A,South,154.9,12.31,2026-01-01,2026-01-01,,219
ORD00076,WAREHOUSE D,East,101.4,6.13,2026-01-01,2026-01-01,56.11,190
ORD00001,Warehouse A,North,139.9,7.59,2026-03-12,2026-03-12,72.58,145
ORD00136,WAREHOUSE D,North,130.9,5.83,2026-02-25,2026-02-25,67.9,258
ORD00128,Warehouse A,North,156.4,11.17,2026-04-20,2026-04-20,95.99,89
ORD00069,Warehouse C,South,109.9,4.26,2026-01-18,2026-01-18,65.69,470
ORD00137,Warehouse C,East,124.0,10.25,2026-01-30,2026-01-30,80.97,418
ORD00043,warehouse_b,North,81.0,10.36,2026-01-16,2026-01-16,61.02,137
ORD00111,WAREHOUSE D,North,162.3,2.72,2026-03-05,2026-03-05,82.91,489
ORD00090,Warehouse A,East,100.9,6.01,2026-05-11,2026-05-11,64.23,224
ORD00073,Warehouse A,Central,183.4,4.29,2026-03-11,2026-03-11,,164
ORD00024,Warehouse C,Central,127.0,7.07,2026-05-30,2026-05-30,74.66,224
ORD00143,Warehouse C,North,21.1,5.61,2026-03-29,2026-03-29,21.56,26
ORD00093,Warehouse C,West,132.9,5.52,2026-05-11,2026-05-11,73.31,79
ORD00104,warehouse_b,Central,117.8,8.78,2026-02-13,2026-02-18,72.08,357
ORD00068,Warehouse A,North,194.9,7.94,2026-02-24,2026-02-24,98.92,279
ORD00026,Warehouse A,North,133.8,6.81,2026-02-09,2026-02-09,72.38,341
